Type,Severity,Unit,Word Index,Word,Description,Suggestion
"missing_example","medium","1","","adverse","Missing example for word "adverse"","Add a meaningful example sentence"
"missing_example","medium","1","1","alternate","Missing example for word "alternate"","Add a meaningful example sentence"
"missing_example","medium","1","2","biodegradable","Missing example for word "biodegradable"","Add a meaningful example sentence"
"missing_example","medium","1","3","boxed","Missing example for word "boxed"","Add a meaningful example sentence"
"missing_example","medium","1","4","choke","Missing example for word "choke"","Add a meaningful example sentence"
"missing_example","medium","1","5","convenient","Missing example for word "convenient"","Add a meaningful example sentence"
"missing_example","medium","1","6","discard","Missing example for word "discard"","Add a meaningful example sentence"
"missing_example","medium","1","7","dolphin","Missing example for word "dolphin"","Add a meaningful example sentence"
"missing_example","medium","1","8","ecologically","Missing example for word "ecologically"","Add a meaningful example sentence"
"missing_example","medium","1","9","fatal","Missing example for word "fatal"","Add a meaningful example sentence"
"missing_example","medium","1","10","incidence","Missing example for word "incidence"","Add a meaningful example sentence"
"missing_example","medium","1","11","municipal","Missing example for word "municipal"","Add a meaningful example sentence"
"missing_example","medium","1","12","overuse","Missing example for word "overuse"","Add a meaningful example sentence"
"missing_example","medium","1","13","pond","Missing example for word "pond"","Add a meaningful example sentence"
"missing_example","medium","1","14","recycle","Missing example for word "recycle"","Add a meaningful example sentence"
"missing_example","medium","1","15","reusable","Missing example for word "reusable"","Add a meaningful example sentence"
"missing_example","medium","1","16","stuffed","Missing example for word "stuffed"","Add a meaningful example sentence"
"missing_example","medium","1","17","tragic","Missing example for word "tragic"","Add a meaningful example sentence"
"missing_example","medium","1","18","utilize","Missing example for word "utilize"","Add a meaningful example sentence"
"missing_example","medium","1","19","whale","Missing example for word "whale"","Add a meaningful example sentence"
"missing_example","medium","2","","amateur","Missing example for word "amateur"","Add a meaningful example sentence"
"missing_example","medium","2","1","ambiguous","Missing example for word "ambiguous"","Add a meaningful example sentence"
"missing_example","medium","2","2","anonymous","Missing example for word "anonymous"","Add a meaningful example sentence"
"missing_example","medium","2","3","attain","Missing example for word "attain"","Add a meaningful example sentence"
"missing_example","medium","2","4","autonomy","Missing example for word "autonomy"","Add a meaningful example sentence"
"missing_example","medium","2","5","concession","Missing example for word "concession"","Add a meaningful example sentence"
"missing_example","medium","2","6","decay","Missing example for word "decay"","Add a meaningful example sentence"
"missing_example","medium","2","7","dwell","Missing example for word "dwell"","Add a meaningful example sentence"
"missing_example","medium","2","8","enlighten","Missing example for word "enlighten"","Add a meaningful example sentence"
"missing_example","medium","2","9","enrich","Missing example for word "enrich"","Add a meaningful example sentence"
"missing_example","medium","2","10","flourish","Missing example for word "flourish"","Add a meaningful example sentence"
"missing_example","medium","2","11","geometry","Missing example for word "geometry"","Add a meaningful example sentence"
"missing_example","medium","2","12","gleam","Missing example for word "gleam"","Add a meaningful example sentence"
"missing_example","medium","2","13","greed","Missing example for word "greed"","Add a meaningful example sentence"
"missing_example","medium","2","14","harmony","Missing example for word "harmony"","Add a meaningful example sentence"
"missing_example","medium","2","15","indigenous","Missing example for word "indigenous"","Add a meaningful example sentence"
"missing_example","medium","2","16","jurisdiction","Missing example for word "jurisdiction"","Add a meaningful example sentence"
"missing_example","medium","2","17","parade","Missing example for word "parade"","Add a meaningful example sentence"
"missing_example","medium","2","18","statue","Missing example for word "statue"","Add a meaningful example sentence"
"missing_example","medium","2","19","virgin","Missing example for word "virgin"","Add a meaningful example sentence"
"missing_example","medium","3","","abnormal","Missing example for word "abnormal"","Add a meaningful example sentence"
"missing_example","medium","3","1","absent","Missing example for word "absent"","Add a meaningful example sentence"
"missing_example","medium","3","2","adjacent","Missing example for word "adjacent"","Add a meaningful example sentence"
"missing_example","medium","3","3","aluminum","Missing example for word "aluminum"","Add a meaningful example sentence"
"missing_example","medium","3","4","applicable","Missing example for word "applicable"","Add a meaningful example sentence"
"missing_example","medium","3","5","artificial","Missing example for word "artificial"","Add a meaningful example sentence"
"missing_example","medium","3","6","bicycle","Missing example for word "bicycle"","Add a meaningful example sentence"
"missing_example","medium","3","7","broker","Missing example for word "broker"","Add a meaningful example sentence"
